lcv_name,state,party,chamber,year,score,lifetime_score,source_url
"Peters, Scott",California,D,house,2025,91,94,https://www.lcv.org/moc/scott-h-peters/
"Jacobs, Sara",California,D,house,2025,100,99,https://www.lcv.org/moc/sara-jacobs/
"Vargas, Juan",California,D,house,2025,100,97,https://www.lcv.org/moc/juan-vargas/
"DeGette, Diana",Colorado,D,house,2025,100,97,https://www.lcv.org/moc/diana-l-degette/
"Neguse, Joe",Colorado,D,house,2025,100,99,https://www.lcv.org/moc/joe-neguse/
"Hurd, Jeff",Colorado,R,house,2025,3,3,https://www.lcv.org/moc/jeff-hurd/
"Boebert, Lauren",Colorado,R,house,2025,0,0,https://www.lcv.org/moc/lauren-boebert/
"Crank, Jeff",Colorado,R,house,2025,0,0,https://www.lcv.org/moc/jeff-crank/
"Crow, Jason",Colorado,D,house,2025,100,99,https://www.lcv.org/moc/jason-crow/
"Pettersen, Brittany",Colorado,D,house,2025,100,97,https://www.lcv.org/moc/brittany-pettersen/
"Evans, Gabe",Colorado,R,house,2025,6,6,https://www.lcv.org/moc/gabe-evans/
"Larson, John",Connecticut,D,house,2025,97,94,https://www.lcv.org/moc/john-b-larson/
"Courtney, Joe",Connecticut,D,house,2025,100,97,https://www.lcv.org/moc/joe-courtney/
"DeLauro, Rosa",Connecticut,D,house,2025,100,96,https://www.lcv.org/moc/rosa-l-delauro/
"Himes, Jim",Connecticut,D,house,2025,97,96,https://www.lcv.org/moc/jim-himes/
"Hayes, Jahana",Connecticut,D,house,2025,100,98,https://www.lcv.org/moc/jahana-hayes/
"McBride, Sarah",Delaware,D,house,2025,100,100,https://www.lcv.org/moc/sarah-mcbride/
"Norton, Eleanor",District of Columbia,D,house,2025,100,100,https://www.lcv.org/moc/eleanor-holmes-norton/
"Patronis, Jimmy",Florida,R,house,2025,0,0,https://www.lcv.org/moc/jimmy-patronis/
"Dunn, Neal",Florida,R,house,2025,0,3,https://www.lcv.org/moc/neal-dunn/
"Cammack, Kat",Florida,R,house,2025,0,1,https://www.lcv.org/moc/kat-cammack/
"Bean, Aaron",Florida,R,house,2025,0,1,https://www.lcv.org/moc/aaron-bean/
"Rutherford, John",Florida,R,house,2025,0,5,https://www.lcv.org/moc/john-rutherford/
"Fine, Randy",Florida,R,house,2025,4,4,https://www.lcv.org/moc/randy-fine/
"Mills, Cory",Florida,R,house,2025,0,0,https://www.lcv.org/moc/cory-mills/
"Haridopolos, Mike",Florida,R,house,2025,3,3,https://www.lcv.org/moc/mike-haridopolos/
"Soto, Darren",Florida,D,house,2025,97,98,https://www.lcv.org/moc/darren-soto/
"Frost, Maxwell",Florida,D,house,2025,100,100,https://www.lcv.org/moc/maxwell-frost/
"Webster, Daniel",Florida,R,house,2025,0,5,https://www.lcv.org/moc/daniel-webster/
"Bilirakis, Gus",Florida,R,house,2025,0,8,https://www.lcv.org/moc/gus-bilirakis/
"Luna, Anna Paulina",Florida,R,house,2025,0,0,https://www.lcv.org/moc/anna-paulina-luna/
"Castor, Kathy",Florida,D,house,2025,100,95,https://www.lcv.org/moc/kathy-castor/
"Lee, Laurel",Florida,R,house,2025,3,4,https://www.lcv.org/moc/laurel-lee/
"Buchanan, Vern",Florida,R,house,2025,3,18,https://www.lcv.org/moc/vern-buchanan/
"Steube, Greg",Florida,R,house,2025,0,1,https://www.lcv.org/moc/greg-steube/
"Franklin, Scott",Florida,R,house,2025,0,1,https://www.lcv.org/moc/scott-franklin/
"Donalds, Byron",Florida,R,house,2025,0,1,https://www.lcv.org/moc/byron-donalds/
"Cherfilus-McCormick, Sheila",Florida,D,house,2025,100,98,https://www.lcv.org/moc/sheila-cherfilus-mccormick/
"Mast, Brian",Florida,R,house,2025,0,16,https://www.lcv.org/moc/brian-mast/
"Frankel, Lois",Florida,D,house,2025,100,98,https://www.lcv.org/moc/lois-frankel/
"Moskowitz, Jared",Florida,D,house,2025,88,92,https://www.lcv.org/moc/jared-moskowitz/
"Wilson, Frederica",Florida,D,house,2025,97,94,https://www.lcv.org/moc/frederica-wilson/
"Wasserman Schultz, Debbie",Florida,D,house,2025,100,94,https://www.lcv.org/moc/debbie-wasserman-schultz/
"Díaz-Balart, Mario",Florida,R,house,2025,0,12,https://www.lcv.org/moc/mario-diaz-balart/
"Salazar, María",Florida,R,house,2025,0,11,https://www.lcv.org/moc/maria-elvira-salazar/
"Giménez, Carlos",Florida,R,house,2025,0,6,https://www.lcv.org/moc/carlos-gimenez/
"Carter, Buddy",Georgia,R,house,2025,0,4,https://www.lcv.org/moc/buddy-carter/
"Bishop, Sanford",Georgia,D,house,2025,85,62,https://www.lcv.org/moc/sanford-d-bishop/
"Jack, Brian",Georgia,R,house,2025,0,0,https://www.lcv.org/moc/brian-jack/
"Johnson, Hank",Georgia,D,house,2025,100,97,https://www.lcv.org/moc/hank-johnson/
"Williams, Nikema",Georgia,D,house,2025,91,98,https://www.lcv.org/moc/nikema-williams/
"McBath, Lucy",Georgia,D,house,2025,100,97,https://www.lcv.org/moc/lucy-mcbath/
"McCormick, Rich",Georgia,R,house,2025,0,0,https://www.lcv.org/moc/rich-mccormick/
"Scott, Austin",Georgia,R,house,2025,0,3,https://www.lcv.org/moc/austin-scott/
"Clyde, Andrew",Georgia,R,house,2025,0,0,https://www.lcv.org/moc/andrew-clyde/
"Collins, Mike",Georgia,R,house,2025,0,1,https://www.lcv.org/moc/mike-collins/
"Loudermilk, Barry",Georgia,R,house,2025,0,1,https://www.lcv.org/moc/barry-loudermilk/
"Allen, Rick",Georgia,R,house,2025,0,1,https://www.lcv.org/moc/rick-allen/
"Scott, David",Georgia,D,house,2025,100,87,https://www.lcv.org/moc/david-scott/
"Greene, Marjorie",Georgia,R,house,2025,0,2,https://www.lcv.org/moc/marjorie-taylor-greene/
"Moylan, Jim",Guam,R,house,2025,67,10,https://www.lcv.org/moc/jim-moylan/
"Case, Ed",Hawaii,D,house,2025,97,97,https://www.lcv.org/moc/ed-case/
"Tokuda, Jill",Hawaii,D,house,2025,100,100,https://www.lcv.org/moc/jill-tokuda/
"Fulcher, Russ",Idaho,R,house,2025,0,2,https://www.lcv.org/moc/russ-fulcher/
"Simpson, Mike",Idaho,R,house,2025,3,10,https://www.lcv.org/moc/mike-simpson/
"Jackson, Jonathan",Illinois,D,house,2025,100,100,https://www.lcv.org/moc/jonathan-jackson/
"Kelly, Robin",Illinois,D,house,2025,100,96,https://www.lcv.org/moc/robin-kelly/
"Ramirez, Delia",Illinois,D,house,2025,97,98,https://www.lcv.org/moc/delia-ramirez/
"García, Jesús",Illinois,D,house,2025,94,97,https://www.lcv.org/moc/jesus-garcia/
"Quigley, Mike",Illinois,D,house,2025,100,98,https://www.lcv.org/moc/mike-quigley/
"Casten, Sean",Illinois,D,house,2025,100,99,https://www.lcv.org/moc/sean-casten/
"Davis, Danny",Illinois,D,house,2025,100,94,https://www.lcv.org/moc/danny-k-davis/
"Krishnamoorthi, Raja",Illinois,D,house,2025,100,98,https://www.lcv.org/moc/raja-krishnamoorthi/
"Schakowsky, Jan",Illinois,D,house,2025,100,97,https://www.lcv.org/moc/jan-schakowsky/
"Schneider, Brad",Illinois,D,house,2025,97,96,https://www.lcv.org/moc/brad-schneider/
"Foster, Bill",Illinois,D,house,2025,100,96,https://www.lcv.org/moc/bill-foster/
"Bost, Mike",Illinois,R,house,2025,3,5,https://www.lcv.org/moc/mike-bost/
"Budzinski, Nikki",Illinois,D,house,2025,94,96,https://www.lcv.org/moc/nikki-budzinski/
"Underwood, Lauren",Illinois,D,house,2025,100,99,https://www.lcv.org/moc/lauren-underwood/
"Miller, Mary",Illinois,R,house,2025,0,1,https://www.lcv.org/moc/mary-miller/
"LaHood, Darin",Illinois,R,house,2025,0,4,https://www.lcv.org/moc/darin-lahood/
"Sorensen, Eric",Illinois,D,house,2025,97,97,https://www.lcv.org/moc/eric-sorensen/
"Mrvan, Frank",Indiana,D,house,2025,94,97,https://www.lcv.org/moc/frank-mrvan/
"Yakym, Rudy",Indiana,R,house,2025,0,1,https://www.lcv.org/moc/rudy-yakym-2/
"Stutzman, Marlin",Indiana,R,house,2025,0,4,https://www.lcv.org/moc/marlin-stutzman/
"Baird, James",Indiana,R,house,2025,0,6,https://www.lcv.org/moc/james-baird/
"Spartz, Victoria",Indiana,R,house,2025,0,4,https://www.lcv.org/moc/victoria-spartz/
"Shreve, Jefferson",Indiana,R,house,2025,3,3,https://www.lcv.org/moc/jefferson-shreve/
"Carson, Andre",Indiana,D,house,2025,100,95,https://www.lcv.org/moc/andre-carson/
"Messmer, Mark",Indiana,R,house,2025,0,0,https://www.lcv.org/moc/mark-b-messmer/
"Houchin, Erin",Indiana,R,house,2025,0,0,https://www.lcv.org/moc/erin-houchin/
"Miller-Meeks, Mariannette",Iowa,R,house,2025,6,9,https://www.lcv.org/moc/mariannette-miller-meeks/
"Hinson, Ashley",Iowa,R,house,2025,0,8,https://www.lcv.org/moc/ashley-hinson/
"Nunn, Zach",Iowa,R,house,2025,3,6,https://www.lcv.org/moc/zach-nunn/
"Feenstra, Randy",Iowa,R,house,2025,0,4,https://www.lcv.org/moc/randy-feenstra/
"Mann, Tracey",Kansas,R,house,2025,0,1,https://www.lcv.org/moc/tracey-mann/
"Schmidt, Derek",Kansas,R,house,2025,0,0,https://www.lcv.org/moc/derek-schmidt/
"Davids, Sharice",Kansas,D,house,2025,94,95,https://www.lcv.org/moc/sharice-davids/
"Estes, Ron",Kansas,R,house,2025,0,2,https://www.lcv.org/moc/ron-estes/
"Comer, James",Kentucky,R,house,2025,0,4,https://www.lcv.org/moc/james-comer/
"Guthrie, Brett",Kentucky,R,house,2025,0,5,https://www.lcv.org/moc/brett-guthrie/
"McGarvey, Morgan",Kentucky,D,house,2025,100,100,https://www.lcv.org/moc/morgan-mcgarvey/
"Massie, Thomas",Kentucky,R,house,2025,15,9,https://www.lcv.org/moc/thomas-massie/
"Rogers, Harold",Kentucky,R,house,2025,0,8,https://www.lcv.org/moc/harold-rogers/
"Barr, Garland",Kentucky,R,house,2025,0,4,https://www.lcv.org/moc/garland-barr/
"Scalise, Steve",Louisiana,R,house,2025,0,3,https://www.lcv.org/moc/steve-scalise/
"Carter, Troy",Louisiana,D,house,2025,100,99,https://www.lcv.org/moc/troy-carter/
"Higgins, Clay",Louisiana,R,house,2025,0,1,https://www.lcv.org/moc/clay-higgins/
"Letlow, Julia",Louisiana,R,house,2025,0,4,https://www.lcv.org/moc/julia-letlow/
"Fields, Cleo",Louisiana,D,house,2025,91,79,https://www.lcv.org/moc/cleo-fields/
"Pingree, Chellie",Maine,D,house,2025,97,97,https://www.lcv.org/moc/chellie-m-pingree/
"Golden, Jared",Maine,D,house,2025,55,70,https://www.lcv.org/moc/jared-golden/
"Harris, Andy",Maryland,R,house,2025,0,2,https://www.lcv.org/moc/andy-harris/
"Olszewski, Johnny",Maryland,D,house,2025,100,100,https://www.lcv.org/moc/johnny-olszewski/
"Elfreth, Sarah",Maryland,D,house,2025,100,100,https://www.lcv.org/moc/sarah-elfreth/
"Ivey, Glenn",Maryland,D,house,2025,100,100,https://www.lcv.org/moc/glenn-ivey/
"Hoyer, Steny",Maryland,D,house,2025,88,84,https://www.lcv.org/moc/steny-h-hoyer/
